[INFO] Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 16.365 s - in no.nav.foreldrepenger.db.validering.SjekkDbStrukturTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.266 s - in no.nav.foreldrepenger.behandlingslager.behandling.verge.VergeGrunnlagEntitetTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s - in no.nav.foreldrepenger.domene.typer.BeløpTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.tid.DatoIntervallEntitetTest
[INFO] Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.299 s - in no.nav.foreldrepenger.domene.feed.FeedRepositoryImplTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.behandlingslager.domene.typer.PersonIdentTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.291 s - in no.nav.foreldrepenger.behandlingslager.behandling.tilbakekreving.TilbakekrevingRepositoryImplTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.056 s - in no.nav.foreldrepenger.behandlingslager.behandling.repository.BehandlingsresultatRepositoryTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.051 s - in no.nav.foreldrepenger.behandlingslager.behandling.repository.BehandlingKandidaterRepositoryTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.332 s - in no.nav.foreldrepenger.behandlingslager.behandling.repository.BehandlingRevurderingRepositoryImplTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.024 s - in no.nav.foreldrepenger.behandlingslager.behandling.repository.BeregningRepositoryImplTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandlingslager.behandling.familiehendelse.FamilieHendelseEntitetTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.285 s - in no.nav.foreldrepenger.behandlingslager.behandling.familiehendelse.FamilieHendelseRepositoryImplTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandlingslager.behandling.familiehendelse.FamilieHendelseGrunnlagEntitetTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.behandlingslager.behandling.vilkår.VilkårKodeverkRepositoryImplTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandlingslager.behandling.vilkår.VilkårTypeTest
[INFO] Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s - in no.nav.foreldrepenger.behandlingslager.behandling.beregning.BeregningsresultatAndelTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.674 s - in no.nav.foreldrepenger.behandlingslager.behandling.beregning.SatsTypeTest
[INFO] Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.419 s - in no.nav.foreldrepenger.behandlingslager.behandling.beregning.BeregningsresultatRepositoryImplTest
